Language,Japanese,Commentary
snack,スナック,軽食をとる. 軽い食事. 軽食(をとる). 急いでする食事. (cf. snuck(sneakの過去形))
snafu,混乱状態,混乱した. を混乱させる. 混乱した状態
snail,カタツムリ,カタツムリ. 不精者. (cf. slug. ナメクジ)
snake,ヘビ,陰険な人. くねる. ヘビ. くねって歩く. をくねらせる. (cf. serpentは同義だが文語的で大型のイメージ)
snare,スネア,誘惑(する). わな(に･をかける). 陥れる
snarl,うなり声,"ウーッ. 犬のうなり声, 鳴き声. (cf. howl遠ぼえする. whineクンクンなく. yelp,yapキャンキャン吠える. growl怒って唸る. snarl歯をむき出して唸る). がみがみ言う"
sneak,スニーク,こそこそする(こと). こっそり盗む･取る･入れる
sneer,冷笑,(人･物･事を)あざ笑う. 軽蔑. 冷笑する. 軽蔑する. を嘲って言う. 冷笑
snell,スネル,厳しい. 鋭い. 厳しく. 敏捷に. 利口に. はりす(に付ける)
Snerk,Snerk,"1870年代,ルイス･キャロル(不思議の国のアリスの作家)によるナンセンス詩に出てくる生物の名"
snide,悪意に満ちた,悪意に満ちた. にせの
sniff,匂いを嗅ぐ,匂いを嗅ぐ. 鼻で吸う. 鼻であしらう. 鼻をすする. クンクン. (=snuff)
snipe,スナイプ,狙撃する. 狙撃. 政治ポスター. 2. シギ(鳥). (cf. snipはさみで切る)
snoop,スヌープ,のぞき回る(snoop around). 捜し回る. せんさくする(snoop into a person's private life. ) (=snooper)かぎ回る人. 探偵・スパイ. 詮索好きの人. おせっかい屋
snope,snope,"(米,南部の)無節操政治家,実業家を皮肉る語彙"
snore,いびき,いびきをかく. いびき. をぐうぐう寝て過す
snort,荒い鼻息,強く鼻を鳴らす. 荒い鼻息. (馬が)鼻を鳴らす. 鼻を鳴らして不満を言う. しゅうしゅう音を立てる
snout,スナウト,(特に大きな)鼻. 鼻先状の物. 機首. (豚などの)鼻づら. 筒先. 氷河の末端
snowy,雪に覆われた,雪の. 雪の多い
snRNA,snRNAの,"small nuclear ribonucleoprotein. 核内低分子RNA. テロメア(telomere染色体の末端にある構造)の維持など,様々な過程に関わるRNA"
snuck,snuck,(口)sneak(こそこそと歩く)の過去形
snuff,スナッフ,くんくん嗅ぐ. を吸い込む. (=sniff)
soapy,せっけんの,石鹸の(ような). お世辞たっぷりの. メロドラマのような
sober,地味な,しらふの. 酔っていない. 分別のある. 真面目な. 冷静な
SoCal,南カルフォルニア,ソーカル. 南カリフォルニア(Southern California)
socks,ソックス,ソックス. 短い靴下. 靴下. (口)げんこで殴ること. 強打
Sodom,ソドム,ソドム(住民の罪悪のため神に焼き滅ぼされた古代都市. 聖書)
Sofia,ソフィア,ソフィア(Bulgariaの首都)
softy,人の言いなりになる人,センチメンタルな人. 情にもろい人. だまされやすい人. あほ. =softie
soggy,ふやけた,ずぶぬれの. 水浸しの. 無気力な
solar,ソーラー,太陽の
solid,固体,固体(の). 硬い. 頑丈な. しっかりした. (固体化. solid-state). (cf. fluid. liquid. solid. gas). 2. 中が詰まった
solve,解決する,を解決する
sonar,ソナー,超音波探知機
sonic,ソニック,音響の
sonny,坊や,坊や
sooth,真実,"(suːθ)真実. 事実. 現実. in sooth本当に. 本当の. 柔らかい. 甘美な (soothe慰める,は別語)"
sooty,すすけた,すすで覆われた. すすだらけの. すすの. 黒っぽい
sorry,ごめんなさい,ごめんなさい. 2. ご愁傷様(葬式などで)
sorta,みかん,(sort of). いくらか. (類似語 kinda)
sound,聞こえる,聞こえる. 音. 測る(sound the depth of a river)
soupy,酒に酔って,スープのような. ドロドロした. どんよりした. 霧の濃い. 酒に酔って. 感傷的な
south,南,南
Soyuz,ソユーズ,ソユーズ. ソビエト連邦およびロシア連邦の1-3人乗り有人宇宙船.
space,スペース,空間. スペース. 宇宙
spade,スペード,スペード. 踏鋤(すき). 鋤
Spain,スペイン,スペイン王国 Kingdom of Spain. 首都マドリード. 人口4700万
spank,たたく,尻を平手打ちする. 平手うち. をたたく. 平手(スリッパ)で打つこと. (罰としてお尻を)ぴちゃりと打つ
SPARC,SPARC,Scalable Processor ARChitecture. サン･マイクロシステムズが開発･製造したRISCベースのマイクロプロセッサ
spare,スペア,スペア. 貯え. 手放す(to treat mercifully). 勘弁する. 容赦する. 出し惜しむ. を取っておく. を使わない
spark,スパーク,火花を出す. スパーク. 火花(を散らす)
spasm,けいれん,痙攣. けいれん. 発作(=sudden attack). ひきつけ(=fit)
spate,洪水,大量. 豪雨. 大水
spawn,スポーン,(水性動物が卵)を生む. 卵. 卵を産む. たまご
speak,話す,話す
spear,槍,やり. 槍. やりで突く
speck,スペック,小さい点. 小粒. 小さなしみ. 小さな腐りきず. ちり. 小片. (cf. spec思惑. 仕様明細書)
speed,速度,スピード. 急ぐ. 速力. 速さ. 速度. 速度を増す. を急がせる. (俗)覚醒剤. ヒロポン
spell,スペル,正しく書く. を綴る. 後退. 呪文. 一続き(の期間). 期間
spelt,スペルト,つづった. spellの過去･過去分詞
spend,過ごす,お金を使う. (時)を過ごす
spent,使用済みの,使った. 金を費やした. 疲れきった. spendの過去･過去分詞
sperm,精子,精子
spice,スパイス,スパイス. 香辛料. 薬味. 趣. に香辛料を加える
spicy,スパイシー,薬味を入れた. 香ばしい. 香辛料のきいた. 気のきいた. きわどい
spiel,熱弁,(物を売ろうとして)まくしたてること
spiff,めかす,きちんとした(気の利いた)ものにする. めかす(up)
spike,スパイク,大くぎ. (塀の)忍び返し. (競技用の靴の)スパイク. (植物)穂
spiky,スパイキー,先端のとがった. くぎのような. くぎ付きの. くぎだらけの. とげとげしい. 頑固な. 気難しい. 短気な. 怒りっぽい (=spikey)
spill,流出,こぼすこと. をこぼす. をばらまく. 流す. 溢れる. 浪費する
spilt,こぼれた,こぼれた
spine,脊椎,脊椎. 脊柱. 背骨. 2. 針. とげ
spiny,とげのある,とげのある. とげの多い. とげ状の. 取り扱いにくい. 厄介な
spire,尖塔,芽を出す. 尖塔. 渦巻. 尖頂
spite,にもかかわらず,にもかかわらず. 2. 悪意. 恨み
splat,スプラット,薄い平板
split,スプリット,株式の分割. 割る. 分け合う. 割り勘にする. を分裂させる
spoil,台無し,悪くなる. を台無しにする. 駄目にする. を甘やかす. 役に立たなくする
spoof,パロディー,いたずらにだますこと. いたずらにだます
spook,幽霊,幽霊. おばけ. 2. スパイ. 3. びっくりさせる.
spool,スプール,スプール. 糸巻. を糸巻に巻く
spoon,スプーン,スプーン
spore,胞子,胞子. 芽胞. 胚種(はいしゆ). 種子
sport,スポーツ,スポーツ
spout,注ぎ口,とうとうと話す. 吹出す. (～を)べらべらしゃべる. 噴出する
spray,小枝,スプレーする. 吹き掛ける. 2. 小枝. (branch幹(trunk)から出る枝. bough大枝. twig小枝. spray葉や花がついた小枝)
spree,ばか騒ぎ,ばか騒ぎ. 馬鹿騒ぎ
sprig,小枝,小枝. 子孫
spunk,勇気,(口)勇気. 気力
spurn,はねつける,を踏みつける. を拒絶する. 拒否する
spurt,スパート,ほとばしり出る. 発芽する. 噴出する. 疾走する. を噴出させる. をほとばしらせる. スパート
squad,分隊,班. 隊. 団. 分隊. チーム
squat,スクワット,しゃがむ. うずくまる. すわる. 無断で居座る
squaw,スコー,アメリカインディアンの女性. インディアンの妻. 女々しい男
squib,爆竹,爆竹. 導火爆管. 小花火. (政治家攻撃)機智に富んだ文. 風刺
squid,イカ,イカ
ssDNA,一本鎖DNA,ssDNA. 一本鎖DNA. single-strand(ed) DNA(cf. dsDNA)
stack,スタック,積み重ね. スタック. 堆積. 干し草の山. を積み重ねる
staff,スタッフ,スタッフ. 杖. 職員
stage,ステージ,舞台. ステージ. 上演する. 段階. 行なう
staid,落ち着いた,とどまる. 延期する. 真面目すぎる. 落ち着いた
stain,染色,"(コーヒー,ジュース,血などによる)しみ. 汚れ. 汚点. (cf. blot. blobインクのしみ)"
stair,階段,階段の. 段. 1段. 階段
stake,ステーク,. 杭. 支柱. 賭け(る). 利害関係. 賭け資金. 出資比率. (cf. steak. stake)
stale,古い,生気がない. 古い. 陳腐な. 新鮮でない. 気の抜けた
stalk,茎,茎. 軸. 細長い支え. 煙突. 2. 忍び寄る. 大またに歩く. (cf. stoke. 燃やす)
stall,露店,畜舎に入れておく. (口実をもうけて)言い逃れする. エンストする. 立ち往生する. 馬房. 露店
stamp,スタンプ,スタンプ. 商標. 切手. を踏みつける. をスタンプで押す
stand,立つ,立つ. 立っている
staph,ブドウ球菌,ブドウ球菌. ブドウ状球菌. staphylococcus
stare,凝視,じっと見つめる(こと). 凝視(する)
stark,スターク,硬直した. 厳格な. 厳しい. 正真正銘の. (副詞)全く
Starr,スター,スター(人名). Ringo Starr他
start,スタート,始める. 2. START(Strategic Arms Reduction Treaty. 戦略兵器削減条約)
stash,スタッシュ,を隠す. (俗)置く. かくまう
state,状態,状態. はっきり述べる. 国家(の). 州. 独立国. 主権国. (通例a. the. one'sで)様子. ありさま
stats,統計,統計
stave,穴を開ける,桶板. 段. たる板. 棒. に穴をあける. 穴があく
stays,ステー,滞在. 逗留. 2. 支柱
stead,代わり,代理. 助け. 利益
steak,ステーキ,ステーキ. (cf. steak. stake)
steal,盗む,を盗む. 盗み取る
steam,スチーム,蒸気の. 蒸気. 水蒸気. スチーム. 霧. もや. 力
steed,スティード,馬. 軍馬
steel,スチール,スチール. 好敵手. 鋼鉄. 剣. 硬さ. 鋼製
steep,急な,急勾配の. 急な坂. 急な･険しい. 不法に高い
steer,舵を取る,舵を取る. 操縦する. を案内する. 向ける. 進む. 雄の子牛. 去勢した雄牛
stein,ジョッキ,スタイン(陶器製のビール用ジョッキ). ジョッキ1杯の量
stent,ステント,ステント. 人体の管状の部分(血管等)を管腔内部から広げる医療機器
stern,船尾,厳格な. きびしい. いかめしい. 苦しい. 断固たる. 船尾
Steve,スティーブ,スティーブ(人名)
stick,棒,棒. 突き出す. を貼りつける. くっつく. 我慢する
stiff,堅い,肩こり. こわばった. 堅苦しい(人). 不自然な. (俗)勃起. 死体. 浮浪者
stile,踏み段,(牧場の柵などを人だけが越せて家畜は通れないようにした)踏み越し段. 2. turnstile(回転ドア)
still,まだ,まだ. やはり
stilt,竹馬,竹馬
sting,刺す,(を針で)刺す. 傷つける. をひりひりさせる. (人を)苦しめる. ひりひり痛む. ひどく痛む. 刺すこと. 針
stink,悪臭,悪臭(を放つ). スキャンダル. 騒動. ひどいもんだ. どうしようもない. 化学
stint,出し惜しみ,仕事を割り当てる. を制限する. 出し惜しみ. 制限. 割当. 2. ハマシギ(鳥)
stipe,茎,茎. 子房柄. (葉)柄
stoat,オコジョ,貂. テン. イタチ(夏に毛が褐色)
stock,株式,株. ストック. 血統. 在庫. 貯蔵. 株券. 国債. 社債. 切り株. 仕入れる. 蓄える. 貯蔵する. 陳腐な. 平凡な
stoic,ストイック,無関心な人. 禁欲的な
stoke,ストーク,(感情)をかきたてる. 燃料をもやす. 火をたく. (cf. stalk. 忍び寄る. 茎)
stomp,踏みつける,どっしりと歩む
stone,石,石材. 石. 小石
stony,石の多い,石だらけの. 無感覚な. 石の(多い)
stood,立っていた,standの過去･過去分詞形. 立っていた. 立たせる. 立つ
stool,スツール,丸椅子. 腰掛け. 足のせ台. 2便器. 3. 大便(=excrement)
stoop,猫背,かがむ. 腰が曲がる. を曲げる. 品位を落とす. 2. ポーチ
store,店,"店. (shopとstore. 原則：何かの手作業が加わるとshop,単なる小売はstore. barbershop, coffee shop, sandwich shop. department store, grocery store. )"
stork,コウノトリ,コウノトリ
storm,嵐,突入する. 強襲する. 嵐(が吹く). 暴風
story,ストーリー,ストーリー
stout,スタウト,頑丈な. 丈夫な. 強い. 太った. 勇敢な. 黒ビール
stove,ストーブ,穴があいた. ストーブ. レンジ
strap,ストラップ,縛る. 固定する. を革ひもで縛る. 吊皮. 革ひも. つり革. 革紐で縛る. ストラップ
straw,ストロー,わら製の. 麦わら. ストロー
stray,ストレイ,はぐれた. 道に迷った. 話題が本筋から外れる. 迷子. 浮浪人(stray sheep迷える羊)
strep,連鎖球菌,連鎖球菌(の). streptococcus
strew,ばらまく,をばらまく
strip,細長い一片,人から(栄誉や地位を)奪う. を裸にする. 細長い一片
Strom,ストレム,シュトルム. 「流れ」を表すドイツ語
strum,掻き鳴らす,(楽器を)下手にかきならす
strut,ストラット,気取って歩く(こと). つっぱり. もったいぶって歩く. 反り返って歩く
stuck,スタック,stickの過去･過去分詞形. くっついた. 行きづまった
study,研究する,勉強する. を研究する
stuff,スタッフ,スタッフ. (漠然と)もの. 材料. を詰める. がつがつ食べる. (cf. staff)
stump,切り株,(質問などが)人を困らせる. 切り株. 歯･手足の基部
stunt,スタント,を妨げる. 発育を止める. 発育阻害. 妙技. 離れ業. 人気取り
stupa,仏舎利塔,仏舎利塔. 卒塔婆
style,スタイル,スタイル. 呼ぶ. 様式. 型. 文体. 日時計の指針. (植物)花柱
suave,上品さ,まろやかな. 温厚な. 丁寧な
sucky,嫌な,嫌な
Sudan,スーダン,スーダン共和国　The Republic of the Sudan. 人口3400万
suede,スエード,スエード皮
sugar,シュガー,砂糖スプーン一杯. 砂糖. 角砂糖一個
suite,スイート,一続きの部屋. 一式の家具. 一組. スイート. スイートルーム(和製英語)
sulfo,スルホ,スルホ. 硫黄(いおう)の意. スルホ基
sulky,不機嫌な,陰鬱な. すねた
sully,サリー,(名声. 功績など)に傷をつける. 泥を塗る
sumac,ウルシ,"スーマック. 中近東一帯に原生するウルシ科の灌木. 赤い果実はフルーティーな酸っぱさがあり,乾燥させレモン汁のように利用される"
Sumer,シュメール,"シュメール. 現在のイラクにあたる古代バビロニアの南部地方. シュメール文化の発生地 (cf. Sumerian, Sumerology). (summer,夏は別綴)"
sunny,晴れた,晴れわたった. 陽気な. 日当たりのいい
super,スーパー,すばらしい. 管理人. 端役. とても
supra,上記に,(ｷﾞﾘｼｱ語)スープラ. 越えて. 上に. 2. トヨタ自動車の車名の一つ
surge,サージ,波立つ. 波のように打ち寄せる. 沸き上がる. 揺らぐ. 急増する. うねり. 高潮. 動揺. 大波. 殺到. 高まり
surly,無愛想な,険悪な
Susan,スーザン,"スーザン. 女の子の名前. Susanna(h)の異形. (愛称 Sue,Susie)"
sushi,寿司,すし
sutra,経典,"(バラモン教・仏教)経,経典,スートラ"
swain,スウェイン,求婚者. 愛人
swamp,沼,浸す. を水浸しにする. 沼地. 低湿地. 湿地
swank,しゃれた,見せびらかし
sward,草地,外皮. 芝生. 芝地. 草地. 草土. 芝生で覆われる. 芝生で覆う
swarm,群れ,いっぱいになる. 群がる. 群れ. 昆虫の群れ. 群衆
swath,スワース,ひと刈り分の牧草(麦など). ひと刈りの幅
swear,誓う,"(swore, sworn)誓って言う. 誓う. 断言する. Cf. swear words(卑語. 罰当りな言葉). swearwordsも"
sweat,汗,汗水たらして働く. 汗をかく. 湿気をおびる. 汗. 湿気. (俗)ぞうさなく. 簡単に(easily)
Swede,スウェーデン人,スウェーデン人
sweep,スイープ,さっと通過する. を一掃する. 掃除する. (～を)掃く. を掃いて集める. 圧勝する. 大勝する
sweet,甘い,甘い. 菓子
swell,うねり,膨らむ. を膨らませる. 隆起(する). 増大(する). (口)すてきな
swept,スウェプト,＜sweep. 掃いた. 掃除する
swift,スイフト,迅速な. 迅速に. 敏速な. 非常に速い
swill,がぶ飲み,がぶがぶ飲む. 痛飲
swine,豚,(野生の)ブタ. 豚. (pigはより家畜的)
swing,スイング,揺れる(こと). 向きを変える. 揺らす. 動かす. 回転. ぶらんこ. 2. (野球)スイング(バットを振ること)
swipe,スワイプ,大振りで打つ. 強打する. 盗む. かっぱらう. 強打. 大振り. がぶ飲み
swirl,スワール,旋回させる. 渦巻く. 渦. 混乱. 渦巻
swish,スウィッシュ,ひゅうと鳴る. をひゅっと振る. ひゅうと言う音. 棒･鞭等のひとふり
Swiss,スイス,"スイスの公式の英語表記Swiss Confederation. Switzerlandは通称で,Swissは主に形容詞として使われる(スイス人の. スイスの)"
swoon,気絶,気絶(する). 次第に消えていく. 衰える
swoop,急襲,さっと舞い降りる. (空から舞い降りて)飛びかかる. をひったくる. 不意の襲撃. 急襲(する). 急降下
sword,剣,武力. 剣. 刀. 暴力. 戦争
Syria,シリア,シリア･アラブ共和国 Syrian Arab Republic
syrup,シロップ,シロップ
tabby,タビー,とら猫
table,テーブル,テーブル
taboo,タブー,禁止された. 禁忌. タブー. 忌み言葉. 禁制. 禁止
tacit,暗黙,暗黙の. 潜在的な. 無言の. 言葉に表さない
tacky,粘着性の,みすぼらしい. 粘る. 安っぽい
Tagus,テージョ川,タホ川(スペイン語). テージョ川(ポルトガル語). イベリア半島最長の1. 008kmの川. 上流側約700kmがスペイン領. 河口側約300kmがポルトガル領
taint,汚染,汚れ. 汚点. 汚名. 病毒. 汚れる. を汚す
taker,受け手,受け手. 受取人. (挑戦に)応じる人. 買い手. 消費者
talky,おしゃべりな,おしゃべりな
tally,タリー,投票. 得点. 勘定. 一致する. 記録する. 数え上げる
talon,爪,(猛禽の)つめ. つかみかかる手
tamed,飼いならさ,飼いならされた
tamer,調教師,ならし手. 使い
Tamil,タミル,タミル語(南インドのタミル人の言語)
Tammy,タミー,"スコットランド人,タミーの濾過布,タミーで濾過する"
Tampa,タンパ,タンパ. フロリダ州中部. メキシコ湾側の商工業･観光都市. 隣接地域と人口270万人の大都市圏を形成. 全米で19番目の規模
tango,タンゴ,タンゴ(を踊る). 赤橙色
tangy,舌にピリッとする,ぴりっとする
taper,テーパー,だんだん細くなる. 次第に細くなる. 次第に小さくなる. 漸減. 次第に細くする
tapir,バク,バク(貘)
tardy,遅刻,遅々とした. 遅い. 遅刻
tarot,タロット,タロット占い
taser,テイザー社,電気矢発射銃(で人を撃つ. 麻痺させる)
taste,味,を味わう. を経験する. 味. 風味. 好み. 風情. 経験
tasty,おいしい,おいしい. 味のいい
tater,ジャガイモ,ジャガイモ. 2. (野球)ホームラン. 本塁打
taunt,愚弄,あざける. なじる
tawny,黄褐色の,"黄褐色の. 茶色い. 朽ち葉,朽ち葉色"
taxol,タクソール,"タキソール. がん化学療法で用いられる有糸分裂阻害剤の一つ. セイヨウイチイの樹皮から単離. 肺がん,卵巣がん,乳がん,進行性カポジ肉腫患者他の治療に用いられる"
taxon,分類群,分類群
teach,教える,教える
teary,涙の,しょっぱい. 塩気のある. 悲しい. 涙に濡れた. 涙の. 涙をたたえた
tease,いじめる,にねだる. じらす. 悩ます. いじめる. (cf. irritate. teas. peeve. annoy. provoke. (見せびらかして)tantalize)
Teddy,テディ,"テディベア(Teddy bear. 狩猟好きの米国のTheodore“Teddy”Roosevelt大統領が子グマを見逃してあげた話がヒントで生まれた熊のぬいぐるみ). 2. テディ(下着,ランジェリーの一種)"
teens,十代の若者たち,10代. 10代の若者. (語源は数字に-teenと付く13-19才の若者)
teeny,小さな,teen-ager(13才から19才まで)
telex,テレックス,テレックス
telly,テレビセット,テレビ. I saw it on the telly. それはテレビで見た
tempo,テンポ,テンポ. 速度
tempt,誘惑する,を誘惑する. を導く. 心を引き付ける
tenet,信条,主義. 教義. (政治･宗教･学派で真理とみなされる)見解
tenor,テノール,男子高音. (次の順に高くなる. bass. baritone. tenor. alto(女声). treble(女声soprano)
tense,時制,強くはった. 緊張した. 張り詰めた. 堅苦しい. ぴんと張った. 時制
tenth,第10,(日付の)10日. 第10番目. 第10の. 10番目の
tepee,ティピー,ティピー(北米インディアンのテント小屋)
tepid,ぬるい,生ぬるい. 熱意のない
terms,条件,条件. (交際の)間柄. 親しい関係
terra,テラ,大地. 土
Terry,テリー,terryclothテリークロス. テリー織. テリータオル(テリー織で作られたタオル)
terse,簡潔な,簡潔な
Tesla,テスラ,"ニコラ･テスラNikola Tesla1856-1943. セルビア国籍の電気技師. 発明家. エジソンの直流電流に対し交流電流を主張,テスラコイルなどを発明"
testy,短気な,怒りっぽい
Texan,Texan,テキサス人. テキサス州の
Texas,テキサス州,"テキサス州,TX"
thank,感謝,感謝する
Thebe,テーベ,テーベ. ギリシャ神話に出る女性の名. 木星の月 他
theca,莢膜,花粉のうや蘚類の胞子のうのケースやさや. 2. 昆虫のサナギの外側のさや(outer sheath of the pupa of certain insects)
theft,盗難,盗み. 窃盗罪. 窃盗(罪). 盗塁
their,彼らの,彼らの. 彼女らの. それらの
theme,テーマ,テーマ. 主題
there,そこ,そこ. そこに. そこで
these,これらの,これらの. これら. この人たち
theta,シータ,(第8ギリシア文字)シータ. Θ. θ
thick,厚い,厚い. 分厚い. 混雑している. 濃い. 深い. . 鈍い. 太い部分. 賑やかなところ. (方言などが)明瞭にわかる. (cf. thick. thin. dense. deep)
thief,泥棒,泥棒. こそ泥. 盗人
thigh,もも,もも. また. 太腿(尻から膝まで)
thine,ザイン,なんじのもの. 汝の
thing,事,物. こと. 事
think,考える,思う. 考える
thiol,チオール,チオール. 水素化された硫黄を持つ有機化合物. 別名メルカプタン(mercaptan). 2. アルコールの酸素が硫黄で置換されたもの(=チオアルコール). 3. チオール基(置換基)
third,第3,第3の. (日付の)3日. 3番目の
thong,革の細ひも,革の細ひも. ひも
thorn,とげ,刺(のある植物). 針. サンザシ. イバラ. 悩み･心配の種
those,それら,それらの. あれら. あの人たち. あれらの
three,3,3. 3つ. 3の
throb,ドキドキ,動悸を打つ. 鼓動する. どきどきする. 脈打つ. 脈拍. 動悸
throw,投げる,投げる. を発射する. を投影する. を投じる
thumb,親指,親指
thump,強打,強い打撃. を打つ. にぶつかる. ゴツン. げんこつの音
thyme,タイム,タイム(香辛料). タチジャコウソウ
tiara,ティアラ,ティアラ. 教皇の職権. 教皇冠. 教皇職. 古代ペルシア人の冠. 宝石付きの頭飾り
Tibet,チベット,"チベット. 南はヒマラヤ山脈,北は崑崙山脈に囲まれた地域. またこの地域の国家や政権,民族に用される呼称"
tibia,脛骨,脛骨. ティビア
tidal,潮の,潮の(tideの形容詞). 干満のある
tiger,虎,トラ. 乱暴者. 強敵. 狂暴な(残酷な)人. 2. 歓呼. 喝采
tight,タイト,(関係などが)密接な. 親密な. 引き締った. 堅い. 水の漏れない. ぴんと張った. ぴったりした
tiled,タイル張りの,タイル張りの
timer,タイマー,タイマー
Times,タイムズ,"タイムズ(The Times). 英国の保守系高級紙. 1785年創刊で世界最古の日刊新聞. 2. 回,回数 "
timid,臆病な,おくびょうな. おずおずした. 気の弱い. 内気な. 臆病な
Timmy,ティミー,こひつじのティミー(Timmy Time). イギリスのショートアニメ. 2. 人名(Timmothyの短縮形)
Timor,ティモール島,ティモール島. 東ティモールは独立国
tinge,色合い,色合い. に薄く色をつける
tinny,安っぽい,スズの(ような). ブリキのような音のする. かん臭い. 安っぽい
tipsy,ティプシー,ほろ酔いの. 千鳥足の. (建物が)傾いた
tired,疲れた,疲れた. 飽きた. うんざりした. 使い古した
Titan,タイタン,"(ギリシャ神話)Titans. タイタン族. (天,Uranusと地,Gaeaの子供の巨神族). 2. 土星最大の衛星. 惑星の水星より大きい. (cf. 元素名チタンはtitaniumタイタニウムだがtitanも使われる)"
titer,力価,"力価,滴定濃度,実値係数,タイター. 生物学における濃度や感染能力などの測定法の１つ"
tithe,十分の一,十分の一税. 10分の1. 小部分
title,タイトル,表題. 書名. 肩書き. 権利. 資格. 選手権
toady,口のうまい人,ごますり(人). ごまをする
toast,トースト,トースト. 乾杯(する)
today,今日,今日. 今日は. このごろ(では)
toddy,トディ,ウイスキーなどに湯･砂糖･レモンなどを加えた飲み物
token,トークン,しるし. 印. 徴候. 証拠. 記念品. 土産. 表象. 記念の品. (形容詞的に)形だけの
Tokyo,東京,東京. 日本の首都
Tommy,トミー,トミー(人名)
tonal,色調の,音色の. 色合いの. 色調の. 調子の
toner,トナー,インクトナー
Tonga,トンガ,トンガ王国 Kingdom of Tonga
tongs,トング,＜tong(物をつまむ). (通常pl形)箸. 火箸. ～ばさみ
tonic,トニック,元気づける. 元気づけるもの. 強壮剤. 炭酸水. 主音
tonus,緊張,トーヌス. 緊張
tooth,歯,歯. (複数形はteeth). (食物の)好み
topaz,トパーズ,トパーズ. 黄玉(11月の誕生石)
topic,トピック,話題. 題目. 話しの種. 表題. 見出し
toque,トーク,(tóʊk). トーク(つばなしの小型の婦人帽). 羽かざりのついたビロードの帽子
torah,律法,律法
torch,トーチ,たいまつ. 光. カンテラ
torso,胴体,胴. 胴体
torus,トーラス,トーラス(pl. tori). ドーナツ型. 輪環(面. 体)ともいう. (adj. toroidalドーナツ型の)
Tosca,トスカ,トスカ. プッチーニ作のオペラ
total,合計,全体の. 全ての. 総計の. 全くの. 総力の. 2. (車が)全壊する. 全損する.
Totem,トーテム,"トーテム(北米インディアンが崇拝する自然物,特に動物)cf. totemic"
touch,触れる,に触れる. 手触り
tough,タフ,強靭な. 丈夫な. 折れない. 強い. 堅い. 頑丈な. 困難な. 凶悪な. タフ
towed,曳航,曳航された
towel,タオル,タオル. 手拭い
tower,タワー,塔. やぐら. 要塞. とりで. そびえる
toxic,毒性,有毒な. 中毒の
toxin,毒素,毒素
toyed,おもちゃに,おもちゃに使われる. される
trace,トレース,の跡をたどる. 追跡する. 跡. 足跡. 痕跡
track,トラック,"轍,小道,競技場のトラック. (track and field. 陸上競技). 鉄道路線. 証拠を追う(keep track of). CDなどの録音の単位. (一周できるものに使う). (cf. truck車のトラック) "
tract,道,広がり. 広い地面. 地方. 地域. 小論文. 小冊子. パンフレット(特に宗教関係の)
Tracy,トレイシー,トレイシー(人名)
trade,貿易,取り引きする. 交換する. 商売する. 貿易する. 商業. 売買. 通商. 職業. 同業者. 顧客
trail,トレイル,跡をつける. 引きずる. の後を追う. (人･動物が通ってできた)道. 痕跡. 航跡. 手掛かり. 裁判. 公判
train,列車,列車. 2. 訓練する
trait,形質,特性. 特. 特色. 特徴. 習性. 一筆
tramp,放浪者,足音高く歩く. 激しく踏みつける. 重い足取り. 徒歩旅行. 浮浪人. 放浪者
trans,トランス,超えて. 横切って
trash,ごみ,紙くず入れ(=wastebasket)
trawl,トロール,トロール網で魚を取る. トロール網 troll(輪唱する. 流し釣りする) cf. troll(北欧民話の巨人)
tread,トレッド,を踏む. 行く. 歩く. 階段の段
treat,扱う,を扱う. を手当てする. 楽しみ. 喜び. おごり
trend,トレンド,トレンド. 流行. 傾く. 風潮. 傾向. 趨勢. 方向. 向く
Trent,トレント,"トレント大学(イギリス,カナダにある大学名) "
tress,トレス,(女性の)髪のひと房. 巻き毛. 編んだ髪
triad,トライアド,三つ組. 3人組. 三和音. 三価元素
trial,公判,公判. 裁判. 試験. 試み. 努力. 苦難
tribe,部族,部族. 種族. 一族
trick,トリック,こつ. 策略. いたずら. 迷い. トリックの. を計略でだます. (俗)女の子. 娼婦の客
tried,試してみた,試した. 試みる. 試験ずみの. 確かな
trier,最善を尽くす人,tryする人. いつも最善を尽くす人. サンプル抽出器. 検査員. 試験装置. 陪審員忌避審判官
trill,トリル,震え声で歌う. トリル. 歌を震え声で歌う. を巻き舌で発音する
tripe,くだらない話,くだらない話. 牛の胃袋
Tripp,トリップ,トリップ(社名). 他
trite,陳腐な,ありふれた. 平凡な. 使い古された
troll,トロール,トロール(北欧民話で洞穴に住む巨人･小人)　2. 陽気に歌う. 輪唱する. 3. 流し釣りする　cf. trawl(トロール漁法は別綴り)
tromp,殴る,殴る. ぶちのめす. 完敗させる. 打つ
troop,軍隊,軍隊. 警官隊. (人･動物の)群れ. ぞろぞろ歩く. 隊. 組み. 多数. 大勢. 集まる
trope,トロープス,言葉の比喩的用法
trout,マス,マス. 鱒
trove,発見物,収集. (大事なものの)集積. バンク. 大事な物を集めている場所. 発見されたもの
truce,休戦,中止. 中断. 休戦. 停戦. 停戦協定
truck,トラック,"トラック. 運搬者. 手押し車. トラックの. 交換する. 取り引きする. (cf. track. 轍,小道,競技場のトラック,CDなどの録音の単位. (ひとつづきで一周できるものに使う)"
truer,真実,真実
